Date,Open,High,Low,Close,Volume,Change
2023-11-22,"25,750원","26,400원","25,300원","26,000원","1,599,398건",0.00%
2023-11-23,"26,050원","26,200원","25,350원","26,000원","1,195,898건",0.00%
2023-11-24,"25,800원","26,100원","25,300원","25,550원","648,757건",-1.73%
2023-11-27,"25,350원","25,650원","25,100원","25,250원","577,231건",-1.17%
2023-11-28,"25,400원","26,300원","25,100원","26,300원","1,257,268건",4.16%
2023-11-29,"26,300원","26,350원","25,850원","26,000원","723,505건",-1.14%
2023-11-30,"26,000원","26,200원","25,600원","26,200원","776,201건",0.77%
2023-12-01,"26,100원","26,150원","25,450원","25,450원","641,374건",-2.86%
2023-12-04,"25,650원","25,900원","25,350원","25,400원","548,069건",-0.20%
2023-12-05,"25,300원","25,500원","25,000원","25,250원","620,061건",-0.59%
2023-12-06,"25,450원","26,000원","25,350원","25,750원","866,884건",1.98%
2023-12-07,"25,450원","26,000원","25,400원","25,850원","543,357건",0.39%
2023-12-08,"26,100원","26,400원","25,850원","26,000원","795,584건",0.58%
2023-12-11,"26,150원","26,250원","25,650원","26,250원","775,736건",0.96%
2023-12-12,"26,300원","26,500원","26,000원","26,100원","886,538건",-0.57%
2023-12-13,"26,150원","26,300원","25,750원","25,950원","650,370건",-0.57%
2023-12-14,"26,500원","27,150원","26,300원","26,850원","2,481,490건",3.47%
2023-12-15,"26,950원","27,100원","26,700원","27,100원","1,158,616건",0.93%
2023-12-18,"27,150원","27,200원","26,150원","26,900원","957,925건",-0.74%
2023-12-19,"26,650원","26,750원","26,200원","26,250원","681,985건",-2.42%
2023-12-20,"26,600원","27,450원","26,500원","27,400원","1,223,701건",4.38%
2023-12-21,"26,900원","27,500원","26,800원","27,500원","576,079건",0.36%
2023-12-22,"27,650원","28,100원","27,200원","27,200원","625,013건",-1.09%
2023-12-26,"27,450원","27,850원","27,200원","27,450원","634,265건",0.92%
2023-12-27,"27,850원","27,850원","27,300원","27,700원","578,358건",0.91%
2023-12-28,"27,850원","28,500원","27,550원","28,500원","1,148,062건",2.89%
